teks,skor,label
sering ke hapus tiba tiba tolong di perbaiki,1,negatif
"Game kontl, kikir banget mau dapet ling neo di kasi token nya 1199, dasar game kikir",1,negatif
seru bet poko nya mah mlbb makin maju game nya mantep bngt tampilan map nya mantep banget sumpah,5,positif
"baru bgt install lgi ini game, auto uninstall dan gak akan mau install lagi selamanya, masa tiap main dapat tim kaya bot sedangkan musuhnya jagonya luarr biasa, apalah game busuk",1,negatif
menarik,5,positif
bagus,5,positif
aku sudah sampai mitik,5,positif
Games Gak Adil...,1,negatif
"sudah gak seru lagi ini game, koneksi saat in-game masa ping 10ms tapi masih lag di tambah lagi teman satu tim isinya beban. terima kasih mobile legend yang telah menemani saya selama 5 tahun ini 😊",1,negatif
monton kennapa gak kasih aku mitik pokoknya kalo maen lagi gak menang gua kasih bintang satu dan akan ku hapus ml inget yang ml nya bernama Renzz@ kasih mitik kalo gak aku kasih bintang satu di jawab ya,1,negatif
"bagus sekali game nya kualitas nya nomor 1 , boleh kali ya DM nya",5,positif
"jaringan ijo tapi ngeleg,Hero jalan sendiri",1,negatif
kasih gw tim yang bagus dong minimal kasih gw tim Jess no limit,1,negatif
ok,5,positif
BINTANG SATU GAK COCOOK BUAT DI MAININ BANYAK BOCIL DRAK SISTEM NYA,5,positif
"one more wrong step, and the player are leaving moonton.",1,negatif
"baik ketika ngasih skin gratis doang sisanya masih banyak bug dan masih miss terhadap update terbaru yang tiada akhir yang membuat handphone saya tidak bisa memainkan secara lancar sehingga saya afk dan saya pun dapat pelanggaran yang benar benar fatal, yaitu penurunan kredit score secara drastis.",1,negatif
hebat,5,positif
Kimmy revamp cacat bener dah. jadi bikin malas main,3,netral
aku satu gak suka monnton bela kasih musuh pro kawan drak sistem,5,positif
game tai,1,negatif
Game Nya Udh Seru Banget Gw Main Dari 2022 Berhenti Main Lanjut Di 2024 Ternyata Banyak Ya Perubahan Cuman Ada Yang Aku Mau Sampaikan 1. Kalo Kasih Tim Sama Musuh Yang Skillnya Seimbang Aja Soalnya Kalo Gak Seimbang Jadi Susah 2.Perkataan Kotor Dalam Game Itu Udh Bisa Di Ban Gasih Biar Nggak Ada Lagi Perkataan Yang Tidak Baik Seperti Itu 3. Bug Yang Masih Agak Banyak Yang Bikin Pengalaman Bermain Jadi Buruk. Oke Sampai Sini Aja Semoga Di Baca Sama Moonton,5,positif
oke juga🤙 👉👍☝👈🤛,5,positif
moonton gratis ke sekin kita dari grup free to play,5,positif
"woi moontod, Lu orang mana, kasih tim yang bener Napa WS 5x LS 4x, kasih tim yang benerlah Tod, kasih tim sesuai ranklah contoh gw legend 3 malah lu ketemuin Ama gw legend 5, oklah tod benerin Napa SempakBarbie",3,netral
match tidak seimbang sama sekali,1,negatif
game kgkg,1,negatif
kecewa sama game ini karna setiap push rank tim musuh slalu kuat gak sebanding dengn tim yg di mainkan..hero sama tpi lebih kuat..di saat mau nyerang balik jaringan langsung gak stabil dan juga nge lag..kadang keluar sendiri dari aplikasi dan akhirnya mndapatkan ban dan pngurangan skor pdhal aplikasi nya yg keluar sendiri.. berkomitmen bgai mna jelas2 lawan ga seimbang..jaringan ngelag kalau lagi push rank..aplikasi keluar sendiri dikatain afk bagai mna bisa adil,1,negatif
Ikut² kolaborasinya ML² paler²,1,negatif
gw ls mulu asu,1,negatif
"saya tidak menyukai game ini ,karna game ini saya jadi tidak memiliki teman . baru juga Donlowoad udah gak memiliki teman karna main nya bot",1,negatif
ml burik,2,negatif
permainan ini sangat burik dan tidak punya rumah minimal punya rumah lah bosss salam dari gema FF,5,positif
game ini keren tapi bikin stresss,3,netral
game nya bagus dan player nya ramah ramah 😊,2,negatif
monton gak sayang sama player nya (mending aku hapus ),1,negatif
kalo mau bikin game sinyal nya dlu yg di bagusin jgn gerafik nya dlu soalnya lag bgt padahal sinyal gw bagus,1,negatif
ᴍᴏɴᴛᴏɴ ᴛᴇʀʟᴀʟᴜ ᴘɪʟɪʜ ᴋᴀsɪʜ,1,negatif
montton ciptain game ga bener gua lostrek ciptain game ga boleh menang,2,negatif
apk buat setres jir,5,positif
game nya bagus ivent nya juga bagus tapi di permainan nya itu loh musuh nya kuat sportif pula kalau tim kita itu kadang ga jelas kadang di gold itu kadang kadang 4 atau 3 janggele nya 3 draksistememang kalau musuh ya enak menang ya itu doang permasalahan nya,4,positif
selalu dapat kawan tolol sedang kan musuh jago semua,1,negatif
"please lah bisa gak sih hapus aja crest 5 sama 8, mana drop ratenya ampas bet. 100x draw cmn dpt 900an, beli dm pake duit muntun harusnya setimpal dong sama drop ratenya. Jelek bet bejir😹🙏🏻",1,negatif
Naik turun terus muntun ngabisin waktu delete aja game nya(canda),1,negatif
gem ini sangat bagus di mainkan di android dan seru,5,positif
Tolong yang dark sistem di ban aj moonton,1,negatif
game nya seru tapi banyak dark sistem tapi overall bagus lah untuk dimainkan,4,positif
game anj*,1,negatif
game yang sangat ramah dan baik kepada pada pemain nyaa🥰,5,positif
seru dan banyak hero yang akun suka,5,positif
"ngasih tim ampas Mulu, mending OES aja ni game",3,netral
"Tolong moonton,kok refresh rate super di HP saya gak kebuka,kalau ultra okelah gak kebuka,ini HP saya 90hz,maen game cuman kebuka refresh rate tinggi.Tolong Moonton di lihat lagi ya🙏",5,positif
"ayolah monton kasih tim yg bisa main lah,masak gua yg harus gendong² terus",3,netral
dak setuh,1,negatif
GAME BAGUS ADA GRAFIK BISA DIATUR JIR ENAK BANGET LAH POKOKNYA DAN EVENTNYA BANYAK LOH!!,5,positif
keren,5,positif
"dear moonton; tolong perbaiki team match nya di setiap season semakin parah, tiap bermain trio/duo saya mendapatkan tim yang performa bermain yang sangat buruk; saya katakan bahwa bot/ai ml lebih baik daripada player yang saya dapatkan. tolong di perbaiki, dan juga kalau party biasanya musuh memakai apl tambahan yg mencurangi game. dan juga saya katakan kalau di suruh memilih bot/ai ml atau player yang saya dptkan saya lebih memilih bot/ai ml",3,netral
GAME BIKIN STRESS DOANG,1,negatif
hoi bisa GK sih lu kasih tim yg ad otak bukan yg hewan menang 1× kalah 5,1,negatif
gamenya bagus🥰🥰,5,positif
GAME SAMPAH MATCHMAKING ASAL-ASALAN.,1,negatif
"keren, karena game ini banyak pro player dan dark sistem gak kayak game sebelah",5,positif
𝖪𝗇𝗉 𝗌𝖾𝗍𝗂𝖺𝗉 𝗌𝖺𝗒𝖺 𝗆𝖺𝗂𝗇 𝗍𝗂𝖽𝖺𝗄 𝗉𝖾𝗋𝗇𝖺𝗁 𝗆𝖾𝗇𝖽𝖺𝗉𝖺𝗍 𝗄𝖾𝗆𝖾𝗇𝖺𝗇𝗀𝖺𝗇 𝗂𝗍𝗎 𝗌𝗎𝖽𝖺𝗁 𝗁𝖺𝗆𝗉𝗂𝗋 𝗌𝖾𝗍𝗂𝖺𝗉 𝗁𝖺𝗋𝗂 𝗌𝖺𝗒𝖺 𝗍𝗂𝖽𝖺𝗄 𝖻𝗂𝗌𝖺 𝗆𝖾𝗇𝖽𝖺𝗉𝖺𝗍 𝗄𝖺𝗇 𝗄𝖾𝗆𝖾𝗇𝖺𝗇𝗀𝖺𝗇? 𝗂𝗍𝗎 𝗌𝖺𝗃𝖺 𝗌𝖺𝗒𝖺 𝗍𝗂𝖽𝖺𝗄 𝗌𝗎𝗄𝖺𝗂 𝖽𝖺𝗋𝗂 𝗀𝖺𝗆𝖾 𝗂𝗇𝗂 𝖽𝖺𝗇 𝗄𝗇𝗉 𝗅𝗂𝗇𝗍𝖺𝗌 𝗋𝖺𝗇𝗄 𝗌𝖺𝗒𝖺 𝖽𝖺𝗇 𝗅𝖺𝗐𝖺𝗇 𝖻𝖾𝖽𝖺 𝗍𝗈𝗅𝗈𝗇𝗀 𝗃𝖺𝗋𝗂𝗇𝗀𝖺𝗇 𝖽𝗂 𝗉𝖾𝗋𝖻𝖺𝗂𝗄𝗂 𝗌𝖾𝗉𝖾𝗋𝗍𝗂 𝖻𝗎𝗀!!,4,positif
yah bagus,5,positif
woi ngasih tim bener dikit Napa masa tim gua kaya epick kasih gua lah tim yg GG gitu gua kalah 17 kali ngotak lah dikit gua hapus juga ni ml kasih gua tim seimbang apa apa ke 3 tahun gua baru Mawi honor lah kasih sekali napa cape gua liat bentar bentar t0101 tim nya gua pake RW juga nanti,5,positif
ini sangat seru,5,positif
ok,3,netral
karena tidak bisa main offline mungkin hp saya atau gem nya apa pun itu tolong perbaiki,1,negatif
game banyak peraturan,1,negatif
oke,5,positif
is good,5,positif
Mlbb gk jelas di kasih beban minion musuh gk ngotak sedangkan minion kita keroco tim lawan pro tim kita beban moontodd moontod coba lah kasih aku legend kalo gak aku bakal pensi!!! 😡😡😡😡😡😡😡😡😡,1,negatif
seru banget ni game nya,5,positif
game STRES dikasih LS trs,2,negatif
seru,5,positif
seru Heronya pada jago👍,5,positif
"untuk monton kalok ngasih tim yang seimbang seperti tim musuh, saya sebagai user solo sangat tidak nyaman dengan ketidak seimbangan tim",1,negatif
aku ga espek ko bisa ya phoveus ga dapet skin kalea Hero baru aja dikasih skin sakura,2,negatif
musuh nya gak ngotak udah itu pelit bangat ngasih bintang,2,negatif
ml bagus kerja Agus,5,positif
ngelek² ga jelas padahal jaringan bagus,1,negatif
game nya bagus terbaik pokonya,5,positif
kenapa ini kredit skor ku kok gak nambah nambah,3,netral
saat saya bermain game ini saya selalu bug jaringan padahal saya memakai wifi,1,negatif
game nya bagus tapi kadang ping tiba-tiba merah padahal sinyal lancar juga sering bug,4,positif
seru awal kadang kadang suka ngeleg,5,positif
HAI GAME INI SANGATLAH BAGUS kALIAN HARUS DOWNLOAD INI,4,positif
ini game epep kan. bagus kali.,5,positif
keren banget coy,5,positif
bagus sekali ML mah,5,positif
ga ada apa apa saat main ga pakai cheat apa pun tiba tiba di ban akun aku 30th cuma gara gara cloner app doang,4,positif
balikin yin sun sin jadi yg lama woii,2,negatif
mantap,5,positif
mantap,5,positif
terimakasih sudah di perbaiki bug damage balmonnya skillnya 2 nya,5,positif
bagus banget dah monton masa aku kagak jadi afk masih ajah di ban kagak jelas Mon,4,positif
gem terbaik,5,positif
kasih tim jangan dark sistem lah moonton kadang Nemu saber roam Xavier roam 2 mm 2 hyper apalah nih,1,negatif
tlg hilangkan sistem joki,1,negatif
saya selalu dikasih mush pro sedangkan temen tim saya dongo dongo tolong lah kasih tim yang seimbang,1,negatif
muntun balikin melissa gw woi gaada damage gini,1,negatif
kasih lawan yang jago² dong GK seru lawan ayam nih,4,positif
gara gara ff x Naruto ml juga mau ml x Naruto hahahaha tuturut munding,1,negatif
good game🙂,5,positif
game nya burik banyak drak sistem,1,negatif
ini game seru hanya saja aku sering di beri lawan yg tidak setara begitu juga teman teman ku mereka juga di beri lawan yg tidak setara apakah kau moonton bisa memperbaiki nya jangan kau sibuk dengan event event anime itu.tolong lah bagi developer nya berikan kami lawan yg setara moonton.jika kau dengar kan aku maka semua player mu pasti senang,1,negatif
GK bagus gamenya setiap mau ranked pasti kalah truss karena tim tak seimbang dan tiba tiba lag dan mahal sekali semua nya dan tiba tiba akun diban jijik lihatnya baik game sebelah kualitas bagus dll makin lama makin sepi ni game ditambah pula saya dipanggil kak ih GK punya adab,2,negatif
game hebat!!!,5,positif
"gamenya seru banget.walaupun kadang kadang sering kalah, tapi pas menang seru banget !! apalagi kalau dapat mvp.aku mainnya sendiri sih, tapi kalau sama temen lebih seru deh. menurutku gamenya bagus . dari Heronya,animasinya dan grafiknya bagus banget.",5,positif
"tolong moonton kasih tim yg bagusan dikit napa, saya sarankan jngn main solo kalau ngga mau gila ya",2,negatif
banyak ngelag bgstt,1,negatif
Ndak jelas ni ml gua main di kasih tim gak jelas sumpah makin banyak dark sistem,1,negatif
Game Ini sangat tidak cocok di mainkan umur 10 tahun ke bawah Lebih baik main Hok Terbaik Ml banyak dark sistem hok Mah tidak ada dark sistem,1,negatif
sangat seru,5,positif
iri sama ff,3,netral
berkat winrate ku 80.00% aku ke epic,4,positif
game nya bagus,5,positif
Sangat bagus,4,positif
game nya jelek map nya itu terus,1,negatif
Bagus sekali,5,positif
disarankan harus kuat mental ni game banyak dark sistem makanya gua hapus. ni game setelah sekian lama gua main kira kira 5 tahun🗿,5,positif
"sumpah ksl bgt kalo tiba-tiba jaringan lag, dari 10ms tiba2 bgt ke ratusan. GIMANA AKU MAU MAINNYA MUNTUNN",5,positif
monton lu punya otak ga sih masa gw lostrek 50 kali 🗿,1,negatif
bagus soal nya tapi. aku tidak bisa main rank,5,positif
gameenyaaa baguss,5,positif
"Terimakasih sekali mobile legends, karena anda saya sangat teruji kesabaran di duniaa, saya sgt serinh ketemu player penguji kesabaran, krn hal tsb saya menjadi sabar sekali menghadapi demua ujian di duni, THANKS MOBILE LEGENDS I ALWAYS SUPPORT YOU 🥹🙏",1,negatif
mati suri,1,negatif
"waw, beautiful, amazing !",3,netral
gw semua bagus . tapi tolong untuk sistem solo di permudahkan biar dapet tim se imbang . dari dulu kalo main solo ga pernah dapat tim bagus. jangan mentang mentang game no satu di playstore,1,negatif
kurang kok ada yg kurang moonton ngasih tim kayak computer lu yg computer heran gw ama lu moonton,1,negatif
👎,3,netral
bagus dan enak di permainan ga bosan,5,positif
gak bisa mythic,1,negatif
woy monton tolong lah jgn dikasih dark sistem terus tell gw pusing bet anjir mana naik turun bintang gw #jangan kikir jadi developer #developer pelit,4,positif
"mendingan game sebelah yg ini full dark sistem,kgk pernah dikasih hoki",1,negatif
"permainannya bagus tapi GB nyabesar melebihi 2,00 GB, moonton tolonglah perkecil GB nya atau jangngan GB mb aja..,semoga dibaca",2,negatif
baguss,5,positif
tolong lah kasih musuh yg bot aku kasihbreting 5,5,positif
monton tolong lah perbaiki sistem nya ngeleg banget ke hp saya padahal saya maen sampe selesai tapi pas di cek afk cuman ga masuk sampe 10 mnt ada yang invalid padahal saya pengen maen monton ini game ngeleg amat padahal pas sapa maen eff ga begitu lag dan selepas saya maen ml leg banget sampet mental juga karena memorinya kegedean yang membuat hp saya mati total tiba tiba ram saya hanya 2/32 monton jadi tolong lah di perbaiki jangan terlalu gede memorinya yang membuat ga kuat hp meding maen ff,1,negatif
Game burik,1,negatif
game ini sangat membuat saya sengsara,1,negatif
game k***ol,2,negatif
agak bikin frustasi ya cuma dh bagus :),4,positif
colab sama Naruto di plagiat ini juga di advance server ada glider epep gimana sih,1,negatif
game stress,1,negatif
dapat tim epic 16 kali kalah main rank di metik tolol ni game,2,negatif
Pemberian teman match yang tidak seimbang,1,negatif
ml adalah game' yang bagus,5,positif
game ini bagus tapi kenapa banyak orang ngehina saya?,5,positif
kalah mulu gua,1,negatif
"matchmaking nya min ayo lah seimbangin sama tim lawan, kasian player yg gapunya party, kalo masih begini terus gua yakin mlbb bakal sepi sisa yg joki, proplayer, sama content creator",1,negatif
afk afk yang gak afk dibikin afkanjing monton kukasi bintang 1,1,negatif
i like,5,positif
game yang kreatif dan bagus,5,positif
game terbaik sepanjang masa,5,positif
game mental down game kikir game stress,1,negatif
"hapus aj game ini, game ini buat kita darah tinggi hapus aj game in",1,negatif
moonton penipuan aku top up DM malah gak masuk,1,negatif
"jelek banget, bukannya pemain acak malah dark sistem, game bikin emosi, udah gak dipilih tim acak malah dark sistem, kocak ni game, 😡🤬🤪",1,negatif
game gk jls mact selalu lemah sebelah,2,negatif
saran aja klo ga ngerti kasih video tutorial aja ya montoon sumpah stres bgt cl aja kyk gj pas rank mah apalagi hadehhh,1,negatif
MLBB sangat bagus saya pensiun FREE FIRE karena untuk mendownload MLBB saya kasih bintang lima,5,positif
"3 matchmaking kurang seimbang, mohon dibenahi. Tapi untuk lainnya sudah bagus",3,netral
sangat bagus,5,positif
gemnya sangat seru monton tolong keluarin sekian badang dan dirot sekalian Hanabi sekinnya bikin yangbagus ya monton ini gem semoga maju dan banyak sekian gratis,5,positif
ngasih lawan jago tim sendiri beban macthmakingnya ketinggalan jaman banget,1,negatif
montoon gk sayang player Masa aku ngestak di epic 5,1,negatif
game rusak mending hapus dari play store,1,negatif
KALO MAEN DI EPIC KETEMU TIM BEBAN,1,negatif
kenapa sih ml collab sama naruto naruto penghianat,1,negatif
bagus game nya,5,positif
saya suka dn ini bagus sekali👍👏😊,5,positif
saya sangat bahagia setelah mengahapus game ini mari sholat dan mengaji karna bermain game ini gak punya masa depan,1,negatif
"wee pliss lah moonton kasih gw team yg pro, masa dikasih team bocil trus mana mainnya cuman butuh kill ayolah",3,netral
Montoon lu niat buat gem gak sih? gw dikasih tim drak sistem mulu kredit skor gw turun gara gara ngelek sendiri padahal paket gw banyak tapi tiba keluar masuk keluar masuk gw kasih bintang 3,3,netral
Jangan main woyy sumpah gua kalah 15 kliii cooo GK di kasihhh menang,1,negatif
"gamenya udah bagus,tapi saya ga bisa main rank gara' kredit skor saya 73 padahal saya ga melakukan afk tapi tetap saja turun kredit skornya. tolong lah MONTON gamenya di perbaiki MONTON.WOI MONTON MONTON MONTON 999999×",1,negatif
"Permainan ini sangat seru dan menyenangkan apalagi grafik nya sangat bagus, terimakasih moonton karna telah merilis game ini 😎😎😄😄😁",5,positif
game ini terlalu banyak entrens pertandingan menjadi la ma👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼💩💩💩💩💩🙉,1,negatif
sangat seruu,5,positif
"grafiknya sangat bagus terus,game nya seru tapi KLH terus, lama2 gua hapus sama temen temen nah itu gua reting 1bintang",1,negatif
"monton kok aku pas main mode rangked matmacingnya kan udah ada begronnya untuk loding tiba tiba aku login ulang padahal wiviku bagus kok aku login ulang aku kira ada citer yang itu lah aku enggak suka sama mlbb karna begini dikasih tim yang enggak bener sekarang gagal masuk kedalam pertandingan , masa kalah sama HOK dasar😡😡",2,negatif
"game rusak! dapat tim selalu jelek. niat mau ngilangin stress, bukannya ilang malah tambah stress, bikin gila main ini game. bagusin lagi game nya. KOCAKK! mending main epep",1,negatif
tiap main selalu dapat tim beban jarang banget dapat tim bagus sekali dapat habis tu udah dapat tim sampah lagi!!!!!,3,netral
game rusak banyak gaya,1,negatif
pemain solo dirugikan....,1,negatif
"Ga jelas banget masa tim di kasih yang pada ga bisa maen giliran musuh nya pada jago jago,,dikasih kalah ga kira kira lagi",5,positif
keren 😎,5,positif
pepek dapet tim dark sistem Mulu asw,1,negatif
lose treak mulu,1,negatif
"kasih keseimbangan dalam membagi tim dan musuh saya selalu dapat tim yang rank tertinggi nya rendah sedangkan musuh tinggi sudah beberapa kali,tim nya selalu tidak jago giliran musuh nya selalu jago",1,negatif
gamenya bayar pake mental anjir,1,negatif
kurang kerasssss,5,positif
"YAALAH MKSH BGT UDH BANTU AKU NAIK RANK EPIC, AKU KASIH BINTANG 5",5,positif
ape tuh desa konaha cumak kecik minimal gede lah kolaborasi kalau adu desa konoha menang ff ml burik mikut mikut,1,negatif
gak jelas banget tiap main nggak pernah dapet tim yang jelas,1,negatif
game gjls,1,negatif
jelek bgt kwkwkwk,1,negatif
"kalo ngasih musuh ngotak dikit lah,musuh nya jago tim nya bot, gmn mau menang",3,netral
Banyak dark sistem habisin Waktu aja,1,negatif
honor skor ku ngurang,5,positif
saat nay aku comeback,4,positif
Karena musuhnya tidak sepadan,2,negatif
Game Cacat,1,negatif
hilang kan draksistem ku kasih bintang 10,3,netral
permainan ini sangat sangat enak dmainkan membuat saya yang td nya stress sekarang tidak ♥️,5,positif
main ny bisa mengatasi rasa galau saya,5,positif
dark sistemnya di jauhkan lah biar rank yang lain ngk naik turun²,5,positif
"gem ini terlalu Basar jadi tidak bisa main dengan bagus di hape yang ram nya kecil, jadi tolong jang bikin gem ini semangkin berat",3,netral
game nya bagus,1,negatif
da ml 👍,5,positif
"uninstal aja bro game jelek masa ws baru 5x trus dikasih ls sampe 11x, mau solo/duo/trio/berlima sama aja dikasih LS . sistem matchmaking emang paling ampas gk jelas bngt, skin aja dimahalin tapi matchmaking gk dibenerin ampas terus dari season lalu, matchmaking lu tuh benerin ton Moonton",1,negatif
"ga jelas, masak main di epik dikasih tim bott, taelah",1,negatif
ml asuu makin sinj makin rusak ini ml masa pas gua maen rank atau yang lain itu tiba tiba lag. padahal kuota saya banyak dan bagus juga jaringan nya,2,negatif
kasih saya lawan yang mudah la montoon,1,negatif
keren,5,positif
lama2 gak jelas moonton gua dapet team BOT MULU GK PERNAH DAPET TEAM BAGUS LAMA LAMA MALES MAIN MLBB INI,5,positif
Sangat bagus game nia sumpah bisah mabar bersama teman dan bisah menhibur kita,5,positif
rekasa pokoknya bagussssss bangettttf,5,positif
musuh nya bot,5,positif
tim nob tim lawan pro kasih lawan yang seimbang dong ayolah monton jangan diam tadi malam gue pus sampai suh cuma naik 1bintang dowang,1,negatif
"game tolol ga relavan banget dapet tim tu kadang bego trus tim musuh jago2 ,gaada setara2 nya minimal update tu adain fitur buat pilih role biar gaada yang egois trus bisa sesuain kemampuan sendiri ,sering nemu player yang egois kalo ngga ya ngtroll bukan tampilan doang yang di update trus makin berat ni game",1,negatif
lumayan seru tapi kenapa setiap aku main pasti ada yang ngomong kasar,4,positif
jaringan sring 300 ms sdangkan buka game lain beh bisa 1 digit ms nya,1,negatif
game ini memang berat tapi seru 5/5,5,positif
𝙶𝙰𝙼𝙴 𝙺𝙾𝙽𝚃𝙾𝙻😇,5,positif
bagusss,5,positif
you deserve this one star bro,1,negatif
oii monton tolong kasih fitur berapa kali kita dapat coklat berapa kali kita dapat silver dan golden,4,positif
"Mantap lahhh, game rusak game tolol",1,negatif
kasih skin gratis dong papi montoon,5,positif
gem ini sangat jelek dan buruk dan yang msin toxcsik semua jangan pernah main game ini,1,negatif
"Naissss👍🎉❤️,,,tpi knp yaa baru di download udh suruh update lagi?.Mana lama pula update nya🤣",5,positif
"mohon maaf, kecewa bgt,, udh di uinstallll,,",1,negatif
"gamenya menarik cuma ya gitu, kadang emosi, kadang seneng, tapi jujur gamenya baguss banget jadi bintang 5 untuk moonton😘",5,positif
apalah akun ilang mulu,2,negatif
game ini super bagus dan aku udah dapet alpah skin legend baik tapi jangan dikasih tim darsistem🙏🙏 mohon,5,positif
jelek gamenya jangan didownload game ampas kek gini,1,negatif
Bagus,5,positif
burik,5,positif
game bosok muntun medit,1,negatif
di kasih tim lolot semua,1,negatif
bagus,5,positif
"game bagus, tolong bikin saya winstreak muntun 🙏",5,positif
gem lol pelit amat mau glory doang gem lol monton lol kalo gw glory tak hapus gua kasih bintang 5,1,negatif
"kalo ngasih team sama musuh yang ngotak lah masak musuh pro nya di atas rata"" sedangkan team dark sistem semua",1,negatif
mntap,5,positif
game sampah,1,negatif
gemnya serubanget,5,positif
seruuuuuu,5,positif
loh kok aplikasi nya hilang...di menu hp....monton apa maksud nya ini,2,negatif
game berat banget ram cuma 2gb,4,positif
"game apaan? , kalah mulu",1,negatif
game ini seru sekali!,5,positif
game beban selalu kalah,1,negatif
akun saya tidak bisa maen ini gimna,5,positif
game jelek,1,negatif
