teks,skor,label
Game aneh main 2 game sinyal pin 20 ga bisa ngapa ngapain tolong lah bintang terbuang sia sia ga bisa ngapa-ngapain diperbaiki lagi lah monton ngepush ga semudah ngasih bintang anj,2,negatif
developee KIKIR cuma ngurus skin doang tapi cheat dibiarkan bertebaran KOCAK,1,negatif
"game ngk jelas jaringan lancar, pas di in game ngelag² padahal sebelum ny ngk kayak gini pas di coba main game lain lancar² aja ngk ada gangguan",1,negatif
seru banget,5,positif
"kok sekarang gak bisa ganti akun yang sudah terkait di FB ,tidak seperti dulu",1,negatif
kalo bisa kuberi bintang nol lag parah game tidak berkualitas,1,negatif
server diperbaikin,5,positif
bagus,5,positif
"bertahun tahun sistem matchmacking sampah gak pernah benar , game jualan skin ini sih . draw judi judi otak kosong cuih",1,negatif
Game yg pilih kasih,3,netral
game sampah dark sistem Mulu di kasih nya,1,negatif
beuuuhhh nga rudet keun sing asli ieu mah,4,positif
"Halah geme banyak bug nya,masa gw stunk di tulisan mlbb anjrt udah gw APUS data tapi tetep aja masih bug tolong di benerin lah monton",1,negatif
"gak jelas sinyal ijo, gak ada angin gak ada hujan tiba² merah dan lama lagi sinyal merah nya",1,negatif
ini game buruk 😈😈😈👎👎👎👎👎👎👎,1,negatif
server lo perbaiki main game ngelegh banget kbnyakan chit signal,1,negatif
"match making gk adil masa duo nemu trio trus solo nemu trio, game apaan ini",1,negatif
game banyak lag,2,negatif
"gw kasih bintang 5,tapi jangan kasih gw dark sistem Mulu dah, terimakasih",5,positif
apalah rank naik turun team nya GK jelas kena dark sistem Mulu mending hapus ml,1,negatif
matchmaking nya bener2 bgst season ini,1,negatif
game taek,1,negatif
"Jaringan jelek banget , montod gk modal",1,negatif
jaringanya kebangetan,1,negatif
PERBAIKI SERVER BUG PADAHAL SINYAL BAGUS SAMA KURANGIN DARK SISTEM HARAP DI DENGER MOONTON,1,negatif
game kontl msh bnyk yng pake cht,1,negatif
"Game apa ini, lama"" makin rusak, Skin aja diperbarui mulu, Liat tuh sistem lu Rusak, jaringan hancur jelas"" wifi bagus 15 MS, banyakin aja skin, Hancurin aja jaringan ama sistemnya",1,negatif
game kwooontol,1,negatif
"permisi bg moonton tolong perbaiki delay di mobile legend pas lagi main ehh malah delay kirain ad yg cheat,tolong mas monton perbaiki lagi bug apa dri sistem nya itu ,makasih.",4,positif
gamee goblokkk gausaa di download game tolol ini mending HOK monton pelit ke silitt moga bangkrut ni game,1,negatif
"banyak bug, banyak dark sistem sangat tidak adil",1,negatif
"monton update skin mulu, ini server kadang lag bikin kalah setim ngeleg ayo lah monton beresin bug nya bikin jengkel",1,negatif
udah lah,1,negatif
masa phoveus gak di kasih skin aku marah ini ini masalah serius ya moonton😡😡😡😡😡,1,negatif
semakin lama malah kacaaauuuuu...,1,negatif
"Min klo letgem minion jalannya cepetin dong,kmrn main hampir menang tp jdi klh gra² minion lambat bener jlanya jdi ke comeback musuh deh.... Klo ngasih musuh yg setara yh min klo g setara jd lostrik mlu jirr...",5,positif
game tolol game idiot darksistem bujang ina na,1,negatif
gMw dengan tingkat bug tertinggi..,1,negatif
main solo sangat d harap kan jangan buat maen game ini kerna mempengaruh mental pasti ketemu tim yang gak tau pick hero apa pasti mm 2 kdng Rom 3 gak ada hyper kalau sekali 2 kali maklum ini hampir tiap hari.. giliran d bacotin gua juga yang kena sedang kan tim aja gak jelas sumpah rank cuma mentok legen 3 dari awal seson tolong di parbiaki lagi sistem match nya selalu dapat tim gak jelas beda ama tim musuh sumpah game TOLOL,1,negatif
"apaansi KLO main jaringan ijo TPI kok macet macet dan gitu kalo masalah peyimpanan, peyimpanan ku bnyak tapi kok ngelek, mana udah di kasih liat ke realmlbb, ngk respon bukti udah di tunjukin kontrol nya paya jaringan Ama kok ngelebihi lek jika itu bug perbaiki dong rank gua turun Mulu a...jnk",1,negatif
game buruk,1,negatif
"game gajelas banyakin aja terus Collabnya sama anime, tapi gamenya banyak bug padahal sinyal 5ms tapi lag parah kocak",1,negatif
game kintil,1,negatif
Jaringan nya tolong di perbaiki dong montod ngen***🗿🗿🗿,5,positif
saya sangat cinta mobile legends,5,positif
old,5,positif
buat prustasi aja,1,negatif
gem mu najis monton ngepus dari siang sampek malem bintang guwa cuma namba 1 jadi gem ini guwa kasi nilai 1,1,negatif
setiap mau naik reng selalu dikasi teman beban gam apalah😮‍💨😮‍💨😮‍💨,1,negatif
"moonton tolong perbaiki bug lag nya , moonton lu kenapa sih ada dendam sama saya bug mulu setiap pertandingan perbaiki 👎",1,negatif
game babi. di kasih tim dari sistem mulu. semua .,1,negatif
game taik,1,negatif
MANTAV,1,negatif
"sangat menyukai ML ini, menghibur juga👍👍👍👍👍",5,positif
"Moonton, tolong skin elit di toko shop kurangin harganya dong plis kadang suka bingung mau beli skin, diamonku GK cukup;)",5,positif
mungkin dia lelah overthinking,5,positif
"susah dapet tim kaya binatang mulu, tolong player kya gini dibanned",1,negatif
game TAiiiii....w solo rank temen nya aneh2 parahhhhh... ni game bikin darah tinggi mending maen game yang lain lah..,1,negatif
game jawa,1,negatif
"bego bnr perasaan tiap bagi tim, hadeh ga logis lagi",1,negatif
game apalah masa pas in game jaringan busuk pas di pake aplikasi lain bagus bagus aja jaringan nya,1,negatif
the best 🤩🤩🤩,5,positif
"TOLONG KALO MATCHING TEMENNYA YG SETARA, DEMI APAPUN GUA CAPE BGT KETEMU YG BEGITUAN",4,positif
"setiap main selalu dapet tim ampas, giliran musuh kuat2 di tambah kalo ngelaporin orang ngfeed hukumanya ringan",1,negatif
game lu udah rusak ton banyak citer tolong di perbaiki lagi,3,netral
"ganguan signal terus , cacat pengaturan sistem nya",1,negatif
"Emang game ajg kasih tim yang main nya kek kntollllllllll trus,gw kapan menang nya bangsatttttttt,main 3 jam g ad hasil ajggg emng,spam bintang 1 aj game nya bagus kok🙏🏻",1,negatif
sering Satu tim sama player kurang membantu/pemalas gak mau diajak kompromi,1,negatif
kasih bintang 1 aja penginya sih ga saya kasih karena ga bisa diposting udah maenya lama setiap hari maen naikin rank ujung ujungnya kembali keepic lagi bikin cape..,1,negatif
"Ini Kenapa Patah"" Setiap Main Match Rank Mau Pun Dll. Tiba"" Aja Udah Di Tengah"" Musuh Bisakan Mati,Kocak. Tolong Perbaiki Dong,Mlah LS Mulu Jadi Nya.",1,negatif
kalah terus setiap main pasti ada dark sistem kalah menang terus kali aku naik mitik aku kasi bintang 5 serius!!!,1,negatif
Udahlah cape,1,negatif
ini game sangat bagus cumah saya salah kealihan aja,1,negatif
game ga jlas,1,negatif
game burik game gaje game rusak game jelek anj masa gw kalah sampe 20 x,1,negatif
bagus banget,5,positif
game gak jelas,1,negatif
game sampah,1,negatif
buruk sekali sering mengalami sinyal lag padahal jaringan bagus memang game aneh paling banyak memakai penyimpanan tapi paling lambat buruk sekali dan banyak player yang tidak sesuai rank nya mantan rank tinggi tapi bermain buruk sudah di laporkan ke sistem harus menunggu 1 jam jelas player yang di laporkan sudah salah sistem buruk seperti ini harus di hapus saja dan game ini yang paling banyak memakai penyimpanan,1,negatif
game sampah game pengilang mood game hama game rusak game idiot game gak sehat,1,negatif
game yang bagus,5,positif
ngga mikir dikasih teman malah ngetrol cape sama montoon,1,negatif
"kasih pemilihan role sebelum pertandingan, kaya HONOR OF KING",1,negatif
papi moonton baik tolong kasi menang terus ya♥♥,5,positif
piss,5,positif
bermain season utama,5,positif
menyenangkan,5,positif
"game manipulatif... sudah cukup lelah berada di dunia nyata banyar orang manipulatif, d dalam game pun sama saja, di paksa merasakan kebusukan moontod.... d game orang pengen ngerasain maen game bebas manipulasi,tapi ternyata sama saja... game busukk, gamenya busuk,pengembangannya busuk,game cacat....",1,negatif
gw saranin jangan main ni game bikin lu naik darah+tolol jangan aja ni game rusak banget kaga ada seru seru nya yang ada bikin emosi mlu anj,1,negatif
gak jelas pindah ke honor aja klo kaya gini terus,2,negatif
sebaiknya gak usah di download game burik bikin leg game lol sebaiknya gak usah di main kan beri bintang 1 dan juga bikin emosi tim lol tim musuh nya gak otak sebaiknya gak usah lol :(,1,negatif
game pelit ngentodd,1,negatif
yuk bantu spam bintang 1 biar ni game idiot sepi n tutup. LG winstrik langsung dikasih tim wr ancur,1,negatif
kapan fitur pilih role lol temen gue udah ada fitur pilih di ori gua kapan muncul aduh,1,negatif
"game jelek, burik, dan bikin orang stres",1,negatif
waw gem bagus,5,positif
"game nya bagus, tapi tolong ada pemain beban yang selalu aj mainya gk benar udah gitu masah marksmen jadi jungel",3,netral
nu te bisa mm tinggali sarua Ken atuh maenna jiga aingk spek kairi bandung balad teh Tara baleg wae atau anu te bisa roam picen we band akun na,1,negatif
game untuk para binatang.... gua milih pindah game dari pada stay untuk menambah dosa,1,negatif
"ini game MOBA kan? gw kira game judi sekalinya menang langsung dikasih kalah,mirip bgt, makanya sampe mikir kesitu",1,negatif
seru,5,positif
moonton tolol lu kalo ngasih dark sisten ngotak dikit jangan beban semua tolol bego babi,1,negatif
"gausah main game ini bikin kesel aja,udah stop main game sampah ini",1,negatif
game buang buang waktu kasih tim yg bener kek gw stress ini lawak,1,negatif
"legg parah padahal sinyalnya penuh,,disaat main rank turun drastis jadi merah",5,positif
game asyu ls ampe 10 kali kaga di kasih menang pisan,1,negatif
seru dah itu aja,5,positif
"game apaan ini ,tiap mau naik rang kek di persulit gak jelas",1,negatif
admin ml anjinh nga jelas bangt ..,1,negatif
game apa ini match making gak bener gini gak imbang bngt,1,negatif
HEI MONTOON! KASIH YANG BENER KALAU MAIN DUO MINIMAL KASIH REKAN TIM PUBLIK YANG BENAR. KAMI SUDAH SERIUS ADA AJA TIM YANG KELAKUANNYA KAYA SETAN,1,negatif
"selalu di beri beban rekan tim ,,. musuh selalu berat. manang 1 kalah lngsung 4.. sekarang ml makin kalah sma papji",1,negatif
Akun gw ilangg,1,negatif
ML kok makin jelek game nya ya aduhh jadi nyesel download buat yg lain jgan main game ini gwe terangin kenapa karena game nya ga cocok buat kita yg ingin main seneng santai ini game nya di awal aja enak nya pas di rank lumayan atas kerasa semua kekurangannya kaya dark sistem terus di kasih temen troll di kasih temen jokian menang sekali kalah 8 kali untuk yg belom main gwe saranin Jagan main kalo masih ada kendala di atas apalagi sekarang ukuranya di atas 10gb an ya kalo bikin happy gpp. hapus,1,negatif
lag parah pliis...... diperbaiki,1,negatif
"apa coba, tim musuh sama tim sendiri bener bener beda jauh. mau itu dari segi gameplay atau macro micro hero. udah report player beban, feeder, dan aneh berkali kali tapi tetap aja ketemu player yang sama. udah di laporkan atau beri masukan tapi tetap aja ketemu player aneh. tolong sistemnya di perbaiki agar player antara tim musuh dan tim sendiri seimbang",1,negatif
gakk seimbang tim amaa musuh nyaa dii persulit ajaaa guaa losee 7× kasihh tim tuhh yang imbang amaa musuh nyaa masaa musuh nyaa mantan glory tim guaa mantan legend,1,negatif
Hei moonton! Kalau kalau kasih tim yang seimbang lah masak saya dapat dark sistem terus bot-bot aja isinya udah coklat dapat lost strike terus 😭😭😭😭 pls seimbang kan tim lawan nyaaaaaaa..🙏🙏.pls,2,negatif
semakin kedepan semakin gak jls.bocil dewasa bingung maennya...win los win los.capek.tau,1,negatif
"Game yg sangat baik hati, gw di kasih tim yg otak nya ngk ada di kepala😊, draf pick yg sangat seimbang banget😊, kadang ketemu user lane yang sama setiap gw main😊, dan setelah saya main selama 1 Minggu, saber ternyata meta di setiap gw main😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊 aku sangat senang main nih jadi ingin gw uninstall aja biar gamenya rame😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊",1,negatif
game dark sistem jirrr macking tidak sesuai,1,negatif
"Ml lu bikin gw nangis mlu, knp setiap gw main lu ngsih tim gw orang yg bego si gw cpe anjingg, lu gk ngerasain jadi gw, gw stress main ini, pliss ml",1,negatif
moonton tolong lah ksih tim yg bgus bnykn klh ny. menang 1 kali klh ny brkali2. kesel bgt gua emosi,1,negatif
bagus banget bisa hilangkan stres,5,positif
game yang sangat buruk bikin brantem terus sama pasangan...moga ni game lenyap!!,1,negatif
bagus banget,5,positif
match sering ga seimbang👎,1,negatif
gemnya bagus tapi gemnya klo sinyal kota ngel malah di afk ke Nn nyampe nyam pe honor skor kuu malah nurun terus cuiii ada apasihh dengan monton inii GK jelas kaya nya gem nya ini . masa sinyal ngel² aja di bilang afk loop kan gemnya kaya kntlll gemnya kurang bagus klo gini mmending bintanng 1 aja bagusan ff lagian walapun butik wkwkwk,1,negatif
"acak team tidak masuk akal, terlalu berat sebelah, jadi kurang seru.",2,negatif
plisss moonton perbaiki server nyaaa ini mah sinyall ijo tp ngelag capee bgt🙏,1,negatif
"game asu, ngasih musuh yang nggk sesuai rank, sangat tidak merekomendasikan main ini game, Dev kikir sama sistem draft tidak seimbang bikin stress",1,negatif
"Hēi Moonton, rúguǒ nǐ zhìzuò yī kuǎn yóuxì, qǐng ràng tā gèng fèi nǎolì yīdiǎn, wèishéme bù ràng duìshǒu bǎochí pínghéng ne? Rúguǒ nǐ xúnzhǎo duìshǒu, tāmen yīnggāi shì pínghéng de. Yóuxì huàile, yóuxì huàile, zhǐ xū cóng Play Store zhōng shānchú gāi yóuxì, zhè bùjǐn méiyǒu yúlè xìng, fǎn'ér ràng rén gǎndào yālì. Yóuxì yǐ sǔnhuài, yóuxì yǐ sǔnhuài",1,negatif
tiap main kalah trs mau itu di klasik brawl rank selalu kalah dapat tim gk ada yg bener ayolah kasih gue menang walaupun itu cuma 2x,1,negatif
kenapa banyak dark system lagii,1,negatif
saya kasih bintang 5 kalo dikasih fitur buat report yang match making tapi ga pencet masuk bukan cuma buat report PP nya ajah,3,netral
ini di hp saya udah support 120 fps tapi kenapa nga bisa tembus di 120fps malah kena limit di 60fps buat Poco f6 padahal udah pakai refresh rate 120hz,1,negatif
game ini sangat seru,5,positif
ayolah monton pant3k kasih tim yang bagus kenapa emang yak kebanyakan main di rank player suka' suka' belajar di mode rank Tolonglah monton masak 90 kali lostrek bikin naik darah tinggi sementara aku kasih rating bintang 1,1,negatif
Bgus Lyak dmainKan buat hp yg Mksimal 2000 pro max 🤤,5,positif
imut,1,negatif
tolong yaa min aku sebagai pemula main di ml pas pertama kli main di epic kok aku merasa kaget yah lawan2 aku nggk sepadan gitu sm kemampuan aku plis lah jgn bikin aku kaget aku baru pertama kli main monn 🥺👉👈,2,negatif
Game gak jelas game asu,1,negatif
"Game ny jelek kli,system ny aneh, pembagian tim gak seimbang,kalah terus,lebih banyak lose streak dari pada win streak,game jelek,rating 1 bintang aja",1,negatif
sangat keren mantap gimang,5,positif
kebanyakan dark sistem kalo dihapus nangung udah habis top op 50k,1,negatif
banyak dark sistem jangan di donload,1,negatif
apk nya bagus buat bisnis online saya cocok banget deh,5,positif
mending hapus ml masa dikasih tim drak sistem mulu mending pindaah game ff,5,positif
terimakasih moonton game mu ini benar benar membuat saya merasa puas. lanjutkan dalam membuat skin yang berkualitas tinggi. dan semoga kedepan semakin banyak kolaborasi dengan skin anime anima terpopuler.,5,positif
bagus banget game nya sampai GK bisa berkata kata,5,positif
gem tolol dapet tim gapernah bener gila gila tolong lah muntod kasi tim yang benar,1,negatif
dikasi temen drak sistem mulu setiap main solo baru udah lose treak ga di kasi bot,1,negatif
habat minus listrik terus,5,positif
"sistem pemulihan akun cacat, akun di hack gk bisa bantu sama sekali nama doang besar sistem seperti ini gk bisa di benahi hadeh",1,negatif
"kata nya game yang adil... cuihhhh bnyak cakap kau monton,kami lebih baik main game honor of king di banding kan Mobile legend bang bang... game ini sangat burik,mulai dari game play musuh terlalu keras sementara tim sendiri player offlane yang winrate nya 30℅ cuihhh najis main game burik🤣🤣🤣",1,negatif
game nya bagus tapi tolong lah moonton dipermudah bagi yg bikin akun baru jangan ribet ribet amat,5,positif
gak pernah menang,1,negatif
saya sangat kecewa karna saya lebih sering menghadapi musuh yg jago nya jauh diatas saya jadinya tidak sepadan. kenapa sih tidak diberikan lawan yg sepadan ? laki itu tanding jika sebanding . saya kasi bintang 1 saja.,1,negatif
di katain yatim gw pake hyper estes,1,negatif
"Game rusak bodoh, main solo selalu ngasih team yg cacat gk bisa main giliran musuhnya di kasih team yang bagus, berat bodoh moonton gendong public gk bisa main",5,positif
game stres,1,negatif
"Izin pensi moonton hp ku sudah tidak lama lagi🥲,, sekali lagi minta maaf untuk moonton",5,positif
tolong sekali untuk monton agar memilih musuh atau tim yg seimbang dan tidak nabrak party full squad saya yang bermain solo kesusahan untuk menang padahal saya selalu mvp atau emas di setiap pertandingan tolong di perbaiki sistem pemilihan lawan atau tim ya,3,netral
bagus tapi gw kalo maen kaga di kasi menang,1,negatif
tolong kalau mau gamenya dapat rating bagus perbaiki jaringannya itu tiap main selalu saja dapat masalah pada jaringan yang kadang sampai 210 ms,1,negatif
Game paling gue suka,5,positif
"kalo main kalo gk ketemu tim beban,kadang ketemu abang²ang mitick akun smurf.",2,negatif
game nya gk enak kebanyakan draksistem tolong di basmi draksistem,1,negatif
"Dikit dikit install merubah tampilan jadi males uninstal aja lah,,padahal sinyal bagus tapi tiba tiba leg terus aneh sistem monton setan babi pilih tim ga seimbang malahan bagus tim lawan",1,negatif
gw sumpahin ml bangkrut banget ngasih musuh yg ngotak napa ge,1,negatif
bagus bangett,5,positif
"sitemnya dibenerin lagi lah monton, masa dapat tim selalu ga bener sedangkan tim musuh jago jago, seengganya kalo timnya ga bener tim musuh juga ga bener",1,negatif
"Sistem timnya benerin koplak, lu mau org sejago apapun klo timnya aneh ga bakal menang.",1,negatif
"hdehh tanggapan pemain aja ga di tanggapi,game udah mendunia masih aja banyak dark sistem,kalo soal event aja sat set moontod²,klo lu ga nanggepin secara serius bisa jadi bnyak yg pindah game",1,negatif
"sangat baik, bagus",5,positif
makin lama makin ngelag aja nih game rusak padahal jaringan udah bagus tiba2 jelek dasar game rusak,1,negatif
"mau naik epic mode solo serasa mhytic njg musuh nya, kebalikannya tim kita malah mainnya ga imbang dngo emang",2,negatif
ini game nya seru,5,positif
pantk klo yg gk bisa main ban aj akun nya min,1,negatif
"main pake wifi pake data ngeleg Mulu padahal sinyal hijau ga jelas, padahal hp saya Poco x7 pro, tapi tetep aja ngeleg Mulu main nih game, tolong di perbaiki lagi",1,negatif
"game pelit bansos, matchmaking tolol mending HoK",1,negatif
MATCHMAKING TOLOL MENDING HOK,1,negatif
mantap !!!,5,positif
sangat asyik game ini,5,positif
ksih gw ws gak atau gw pindah hok kalau gw besok gak di kasih ws lihat aja gw pindah hok monton jahat balikin waktu gw,1,negatif
"MIN TOLONG NIH YA,PASTI ADA AJA EROR IN GAME YANG LEQ LAH YANG ADA CHEAT SINYAL LAH,APALAGI SAMPE STUCK GAK BISA MASUK KE MOBILE LEGENDNYA",1,negatif
sangat seru tapi jangan kasih lose strek terus lah,5,positif
"gk bisa masuk,server eror truss moonton tolong di perbaiki",1,negatif
tau ah males pensi aja gw kagak seimbang Mulu punya timm,1,negatif
"pencocokan tim GAK JELAS. MOONTON ANEHHHH. ngereport org lain yg feeder, troll gak pernah berhasil, tp giliran gw yg di report malah berhasil mulu. Aneh Lu Moonton",1,negatif
game nya bagus seru banget,5,positif
game seru,5,positif
ml bodoh banyak kali dark sistem nya,1,negatif
gak bisa buat game ni bocah main rank turun pensi aja main mobile legends,1,negatif
game play lebih hHD,5,positif
"game rusak, game drak sistem",5,positif
"𝙢𝙡 𝙖𝙟𝙜, 𝙨𝙩𝙖𝙠 𝙙𝙞 𝙡𝙚𝙜𝙚𝙣𝙙 𝙜𝙪𝙖 𝙣𝙜𝙣𝙩𝙙",5,positif
Permainan ml sangat bagus di banding ff yg burikk,5,positif
game penuh kesopanan,5,positif
gua heran aja ni game jaringan bagus kok pas gua mainnya malah nge lag parah,1,negatif
tidak ada fitur telanjang,1,negatif
muntun plis lah yang trol trol kasih pelanggaran berat napa,1,negatif
seru aja tapi jangan kasi tim dramsistem,5,positif
"Makin kesini makin gak jelas, 1 minggu gk naik turun doang, ngasih tim tolol mulu, ngurus event busuk mulu, mending turtel di hapus aja di kasih hyper gk guna mulu",1,negatif
Huuuuuuu minimal kayak ff lah walaupun game buriq tpi ga ngeleq kayak gamemu montoon aplah montoon bayi pun bisa bikin game,1,negatif
"gamenya rusak parah makin banyak skin yang keluar semakin banyak bug nya juga...SUMPAH YA KALAU BISA NI VITUR PLAYSTORE BISA NGIRIM VIDEO KE ULASAN UDH GW KIRIM TUH VIDEO GW YANG MAIN ML DI RANK NGELAG PARAH, GW UDAH MAKE WIFI TETAP AJA PAS MAIN ML LANGSUNG NGELAG BUKAN KARENA WIFI GW BERMASALAH YAK, TUH WIFI GW MAKE NONTON YOUTUBE BISA, TIKTOKAN JUGA BISA, TAPI GILIRAN MAIN ML JARINGANNYA MERAH BGT SI ALAN UDAH LAH MAKIN GK MOOD GW SAMA MOONTON",1,negatif
gamenya mengesankan dan bagus,5,positif
tolol server ngeleg,1,negatif
mantul,5,positif
mythic serasa epic,1,negatif
"wkwk kocak match ngga seimbang, dapet tim ga pernah bener, yang adil kocak kalo ngasi tim, dikas lose terus wkwkw",1,negatif
Sangat tidak seimbang heronya dan pemilihan team nya sangat tidak pas..teamnya afk dan lawannya sangat pro.supreme2.,1,negatif
game ruksak jaringan bagus tapi masih leg cihh,1,negatif
"suka tiba-tiba lag, padahal sinyal gw bagus, match making ny juga gj, gw repot tu Player kagak di gubris kan aneh, sorry nih gw udah main cukup lama dan gw udah muak bgt so gw blm bisa kasih bintang 5, minimal betulin dulu tu match making, banyak orang komplain masalah itu, dan ga pernah lu gubris",1,negatif
mending gk usah download ni game sumpah kalo lu dowload maka lu akan kek orang tollol gitu,1,negatif
"Game penghilang kegabutan, keren",5,positif
Bagus 👍 Semoga akun ku wangy,5,positif
tetap sekrang masalahnya di keseimbangan tim sama singal 😹,5,positif
"MOONTON²,PERBAIKI LAH JARINGAN YANG NGEBUG,KADANG HERO NYA JALAN SENDIRI PADAHAL GA DIGERAKIN ANALOGNYA, DASAR MOBA ANALOG 😹",1,negatif
gausah ngasih tim kek pler babi,5,positif
"Tolong perbaiki game lu lah sinyal gw udah bagus tapi kenapa kalau maen ketinggalan waktu mulu misal waktu 12.23 menit di gw 12.10 menit,tolong di permudah kan untuk hp ram 3 kebawah loading di in game stuck di 6% mulu dan sering kembali ke loby sendiri.",2,negatif
"saya ingin menyampaikan kritik kenapa saya tidak bisa melakukan pemulihan akun, akun saya telah di curi sebulan lalu tapi saya tidak bisa melakukan pemulihan karna dikatakan sudah sering melakukan pemulihan, adakah solusi atas hal ini?",1,negatif
masih di keluhan yang sama.. masalah jaringan.. tadi abis main udah 15 menit an.. trus tiba tiba lag di late game.. kedua team lag semua.. dan berhenti ketika team saya berhasil memenangkan pertandingan.. dan pass di cek ternyata hasil pertandingan nggak ada.. menghubungi customer service juga sama aja malah gajelas.. pdahal sudah dikasih bukti hasil screenshot yg jelas.. tolong kembalikan hasil pertandingan yang barusan.. pdahal pass main lagi enak enaknya.. team juga enak.. malah ada mslah,1,negatif
"mayan buat kumpul"" dan buat menghasilkan uang",5,positif
game bobrok,1,negatif
